landname, hauptstadt, bilddatei
China, Volksrepublik Peking,Flag_of_the_People's_Republic_of_China.svg.png
Cookinseln,Avarua,Flag_of_the_Cook_Islands.svg.png
Costa Rica,San José,Flag_of_Costa_Rica.svg.png
Dänemark,Kopenhagen,Flag_of_Denmark.svg.png
Deutschland,Berlin,Flag_of_Germany.svg.webp
Dominica,Roseau,Flag_of_Dominica.svg.png
Dominikanische Republik,Santo Domingo,Flag_of_the_Dominican_Republic.svg.png
Dschibuti,Dschibuti,Flag_of_Djibouti.svg.png
Ecuador,Quito,Flag_of_Ecuador.svg.png
El Salvador,San Salvador,Flag_of_El_Salvador.svg.png
Elfenbeinküste,Yamoussoukro,Flag_of_Côte_d'Ivoire.svg.png
Eritrea,Asmara,Flag_of_Eritrea.svg.png
Estland,Tallinn,Flag_of_Estonia.svg.png
Eswatini,Mbabane,Flag_of_Eswatini.svg.png
Fidschi,Suva,Flag_of_Fiji.svg.png
Finnland,Helsinki,Flag_of_Finland.svg.png
Frankreich,Paris,Flag_of_France_(1794–1815_1830–1974).svg.png
Gabun,Libreville,Flag_of_Gabon.svg.png
Gambia,Banjul,Flag_of_The_Gambia.svg.png
Georgien,Tiflis,Flag_of_Georgia.svg.png
Ghana,Accra,Flag_of_Ghana.svg.png
Grenada,St. George’s,Flag_of_Grenada.svg.png
Griechenland,Athen,Flag_of_Greece.svg.png
Guatemala,Guatemala-Stadt,Flag_of_Guatemala.svg.png
Guinea,Conakry,Flag_of_Guinea.svg.png
Guinea-Bissau,Bissau,Flag_of_Guinea-Bissau.svg.png
Guyana,Georgetown,Flag_of_Guyana.svg.png
Haiti,Port-au-Prince,Flag_of_Haiti.svg.png
Honduras,Tegucigalpa,Flag_of_Honduras.svg.png
Indien,Neu-Delhi,Flag_of_India.svg.png
Indonesien,Jakarta,Flag_of_Indonesia.svg.png
Irak,Bagdad,Flag_of_Iraq.svg.png
Iran,Teheran,Flag_of_Iran.svg.png
Irland,Dublin,Flag_of_Ireland.svg.png
Island,Reykjavík,Flag_of_Iceland.svg.png
Israel[10],Jerusalem ,Flag_of_Israel.svg.png
Italien,Rom,Flag_of_Italy.svg.png
Jamaika,Kingston,Flag_of_Jamaica.svg.png
Japan,Tokio,Flag_of_Japan.svg.png
Jemen,Sanaa (de jure),Flag_of_Yemen.svg.png
Jordanien,Amman,Flag_of_Jordan.svg.png
Kambodscha,Phnom Penh,Flag_of_Cambodia.svg.png
Kamerun,Yaoundé,Flag_of_Cameroon.svg.png
Kanada,Ottawa,Flag_of_Canada_(Pantone).svg.png
Kap Verde,Praia,Flag_of_Cape_Verde.svg.png
Kasachstan,Astana,Flag_of_Kazakhstan.svg.png
Katar,Doha,Flag_of_Qatar.svg.png
Kenia,Nairobi,Flag_of_Kenya.svg.png
Kirgisistan,Bischkek,Flag_of_Kyrgyzstan.svg.png
Kiribati,South Tarawa,Flag_of_Kiribati.svg.png
Kolumbien,Bogotá,Flag_of_Colombia.svg.png
Komoren,Moroni,Flag_of_the_Comoros.svg.png
Kongo, Demokratische Republik,Kinshasa,Flag_of_the_Democratic_Republic_of_the_Congo.svg.png
Kongo, Republik,Brazzaville,Flag_of_the_Republic_of_the_Congo.svg.png
Korea, Nord,Pjöngjang,Flag_of_North_Korea.svg.png
Korea, Süd,Seoul,Flag_of_South_Korea.svg.png
Kosovo,Pristina,Flag_of_Kosovo.svg.png
Kroatien,Zagreb,Flag_of_Kosovo.svg.png
Kuba,Havanna,Flag_of_Cuba.svg.png
Kuwait,Kuwait,Flag_of_Kuwait.svg.png
Laos,Vientiane,Flag_of_Laos.svg.png
Lesotho,Maseru,Flag_of_Lesotho.svg.png
Lettland,Riga,Flag_of_Latvia.svg.png
Libanon,Beirut,Flag_of_Lebanon.svg.png
Liberia,Monrovia,Flag_of_Liberia.svg.png
Libyen,Tripolis,Flag_of_Libya.svg.png
Liechtenstein,Vaduz,Flag_of_Liechtenstein.svg.png
Litauen,Vilnius,Flag_of_Lithuania.svg.png
Luxemburg,Luxemburg,Flag_of_Luxembourg.svg.png
Madagaskar,Antananarivo,Flag_of_Madagascar.svg.png
Malawi,Lilongwe,Flag_of_Malawi.svg.png
Malaysia,Kuala Lumpur (de jure),Flag_of_Malaysia.svg.png
Malediven,Malé,Flag_of_Maldives.svg.png
Mali,Bamako,Flag_of_Mali.svg.png
Malta,Valletta,Flag_of_Malta.svg.png
Marokko,Rabat,Flag_of_Morocco.svg.png
Marshallinseln,Majuro,Flag_of_the_Marshall_Islands.svg.png
Mauretanien,Nouakchott,Flag_of_Mauritania.svg.png
Mauritius,Port Louis,Flag_of_Mauritius.svg.png
Mexiko,Mexiko-Stadt,Flag_of_Mexico.svg.png
Mikronesien,Palikir,Flag_of_the_Federated_States_of_Micronesia.svg.png
Moldau,Chișinău,Flag_of_Moldova.svg.png
Monaco,Stadtstaat,Flag_of_Monaco.svg.png
Mongolei,Ulaanbaatar,Flag_of_Mongolia.svg.png
Montenegro,Podgorica,Flag_of_Montenegro.svg.png
Mosambik,Maputo,Flag_of_Mozambique.svg.png
Myanmar,Naypyidaw,Flag_of_Myanmar.svg.png
Namibia,Windhoek,Flag_of_Namibia.svg.png
Nauru,Yaren,Flag_of_Nauru.svg.png
Nepal,Kathmandu,Flag_of_Nepal.svg.png
Neuseeland,Wellington,Flag_of_New_Zealand.svg.png
Nicaragua,Managua,Flag_of_Nicaragua.svg.png
Niederlande,Amsterdam (de jure),Flag_of_the_Netherlands.svg.png
Niger,Niamey,Flag_of_Niger.svg.png
Nigeria,Abuja,Flag_of_Nigeria.svg.png
Niue,Alofi,1920px-Flag_of_Niue.svg.png
Nordmazedonien,Skopje,Flag_of_North_Macedonia.svg.png
Norwegen,Oslo,Flag_of_Norway.svg.png
Oman,Maskat,Flag_of_Oman.svg.png
Österreich,Wien,Flag_of_Austria.svg.png
Osttimor,Dili,Flag_of_East_Timor.svg.png
Pakistan,Islamabad,Flag_of_Pakistan.svg.png
Palästina,Ostjerusalem (de jure),Flag_of_Palestine.svg.png
Palau,Ngerulmud,Flag_of_Palau.svg.png
Panama,Panama-Stadt,Flag_of_Panama.svg.png
Papua-Neuguinea,Port Moresby,Flag_of_Papua_New_Guinea.svg.png
Paraguay,Asunción,Flag_of_Paraguay.svg.png
Peru,Lima,Flag_of_Peru.svg.png
Philippinen,Manila,Flag_of_the_Philippines.svg.png
Polen,Warschau,Flag_of_Poland.svg.png
Portugal,Lissabon,Flag_of_Portugal.svg.png
Ruanda,Kigali,Flag_of_Rwanda.svg.png
Rumänien,Bukarest,Flag_of_Romania.svg.png
Russland,Moskau,Flag_of_Russia.svg.webp
Salomonen,Honiara,Flag_of_the_Solomon_Islands.svg.png
Sambia,Lusaka,Flag_of_Zambia.svg.png
Samoa,Apia,Flag_of_Samoa.svg.png
San Marino,San Marino,Flag_of_San_Marino.svg.png
São Tomé und Príncipe,São Tomé,Flag_of_São_Tomé_and_Príncipe.svg.png
Saudi-Arabien,Riad,Flag_of_Saudi_Arabia.svg.png
Schweden,Stockholm,Flag_of_Sweden.svg.png
Schweiz,Bern,Flag_of_Switzerland.svg.png
Senegal,Dakar,Flag_of_Senegal.svg.png
Serbien,Belgrad,Flag_of_Serbia.svg.png
Seychellen,Victoria,Flag_of_Seychelles.svg.png
Sierra Leone,Freetown,Flag_of_Sierra_Leone.svg.png
Simbabwe,Harare,Flag_of_Zimbabwe.svg.png
Singapur,Stadtstaat[18],Flag_of_Singapore.svg.png
Slowakei,Bratislava,Flag_of_Slovakia.svg.png
Slowenien,Ljubljana,Flag_of_Slovenia.svg.png
Somalia,Mogadischu,Flag_of_Somalia.svg.png
Somaliland,Hargeysa,Flag_of_Somalia.svg.png
Spanien,Madrid,Flag_of_Spain.svg.png
Sri Lanka,Sri Jayewardenepura Kotte (de jure),Flag_of_Sri_Lanka.svg.png
St. Kitts und Nevis / St. Christopher und Nevis,Basseterre,Flag_of_Saint_Kitts_and_Nevis.svg.png
St. Lucia,Castries,Flag_of_Saint_Lucia.svg.png
St. Vincent und die Grenadinen,Kingstown,Flag_of_Saint_Vincent_and_the_Grenadines.svg.png
Südafrika,Bloemfontein,Flag_of_South_Africa.svg.png
Sudan,Khartum,Flag_of_Sudan.svg.png
Südossetien,Zchinwali,Flag_of_South_Ossetia.svg.png
Südsudan,Juba,Flag_of_South_Sudan.svg.png
Suriname,Paramaribo,Flag_of_Suriname.svg.png
Syrien,Damaskus,Flag_of_Syria.svg.png
Tadschikistan,Duschanbe,Flag_of_Tajikistan.svg.png
Tansania,Dodoma (de jure),Flag_of_Tanzania.svg.png
Thailand,Bangkok,Flag_of_Thailand.svg.png
Togo,Lomé,Flag_of_Togo.svg.png
Tonga,Nukuʻalofa,Flag_of_Tonga.svg.png
Trinidad und Tobago,Port of Spain,Flag_of_Trinidad_and_Tobago.svg.png
Tschad,N’Djamena,1920px-Flag_of_Chad.svg.png
Tschechien,Prag,Flag_of_the_Czech_Republic.svg.png
Tunesien,Tunis,Flag_of_Tunisia.svg.png
Türkei,Ankara,Flag_of_Turkey.svg.png
Turkmenistan,Aşgabat,Flag_of_Turkmenistan.svg.png
Tuvalu,Funafuti,Flag_of_Tuvalu.svg.png
Uganda,Kampala,Flag_of_Uganda.svg.png
Ukraine,Kiew,Flag_of_Ukraine.svg.png
Ungarn,Budapest,Flag_of_Hungary.svg.png
Uruguay,Montevideo,Flag_of_Uruguay.svg.png
Usbekistan,Taschkent,Flag_of_Uzbekistan.svg.png
Vanuatu,Port Vila,Flag_of_Vanuatu.svg.png
Vatikanstadt,Stadtstaat,Flag_of_the_Vatican_City_(2001–2023).svg.png
Venezuela,Caracas,Flag_of_Venezuela.svg.png
Vereinigte Arabische Emirate,Abu Dhabi,Flag_of_the_United_Arab_Emirates.svg.png
Vereinigte Staaten,Washington, D.C.,Flag_of_the_United_States.svg.webp
Vereinigtes Königreich,London,Flag_of_the_United_Kingdom_(3-5).svg.webp
Vietnam,Hanoi,Flag_of_Vietnam.svg.png
Westsahara,El Aaiún (de jure),Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg.png
Zentral­afrikanische Republik,Bangui,Flag_of_the_Central_African_Republic.svg.png
Zypern,Nikosia,Flag_of_Cyprus.svg.png
